Meter_ID,Usage_Type,Name,Address,Phone_Number,Region,Tariff_Plan,Email,Household_Size,Dwelling_Type,Energy_Consumption_kWh,Payment_Status,Timestamp,Business_Name,Business_Address,Contact_Number,Business_Type,Contact_Email,Operating_Hours,Floor_Area,Facility_Name,Facility_Address,Industry_Type,Production_Capacity,Operating_Shifts,Production_Volume,Month,Hour,Date,Is_Peak_Hour,Peak_hour_usage_ratio,Usage_consistency_score
COM01098,commercial,,,,Mass Media,,,,,36.563844,partial,2024-02-17 18:47:40.626455,Solwezi Boutique,"Plot 182, Gina Glen, Lusaka",+260954740079,Textiles,solweziboutique@gmail.com,15 hours,245,,,,,,,2,18,2024-02-17,True,1.4,30.64
RES00048,residential,Miranda Lowery,"1025 Bradley Summit Suite 239, Lusaka",+260952222869,John Laing,R3,mirandalowery@gmail.com,6,Flat,32.861402,partial,2024-02-18 05:44:58.128836,,,,,,,,,,,,,,2,5,2024-02-18,True,0.64,10.47
RES04337,residential,Jonathan Lam,"533 Amy Port, Lusaka",+260978133309,Rhodes Park,R1,jonathanlam@gmail.com,2,Flat,6.088949,paid,2024-02-18 15:10:48.754096,,,,,,,,,,,,,,2,15,2024-02-18,False,2.14,5.69
RES01262,residential,Teresa Mcdowell,"1765 Victoria Square, Lusaka",+260974234055,Kanyama,R3,teresamcdowell@gmail.com,7,Flat,10.63609,paid,2024-02-19 01:06:03.214478,,,,,,,,,,,,,,2,1,2024-02-19,False,1.25,49.16
COM02741,commercial,,,,Lusaka West,,,,,5.0,paid,2024-02-19 03:06:08.714089,Lusaka Hardware,"Plot 460, Eric Fields, Lusaka",+260964285908,Textiles,lusakahardware@gmail.com,14 hours,428,,,,,,,2,3,2024-02-19,False,2.58,9.77
COM02629,commercial,,,,Longacres,,,,,32.13711,unpaid,2024-02-19 06:29:30.814648,Luangwa Motors,"Plot 54, Rivera Plains, Lusaka",+260973789051,Agriculture,luangwamotors@gmail.com,10 hours,359,,,,,,,2,6,2024-02-19,True,2.3,37.67
RES04678,residential,Diamond Johnson,"9420 Donald Plain Suite 406, Lusaka",+260959135310,Woodlands,R3,diamondjohnson@gmail.com,6,Flat,28.781357,paid,2024-02-19 09:44:17.313128,,,,,,,,,,,,,,2,9,2024-02-19,True,1.6,9.34
RES01834,residential,Timothy Bowen,"0436 Johnson Parkway, Lusaka",+260963237877,George,R1,timothybowen@gmail.com,7,House,39.952747,paid,2024-02-19 18:57:50.536164,,,,,,,,,,,,,,2,18,2024-02-19,True,1.05,5.13
COM00956,commercial,,,,Kanyama,,,,,50.307728,paid,2024-02-19 19:42:44.348874,Zambezi Agro Ltd,"Plot 144, Stephen Union, Lusaka",+260977459312,Hospitality,zambeziagroltd@gmail.com,17 hours,477,,,,,,,2,19,2024-02-19,True,1.94,42.81
IND03448,industrial,,,,Mandevu,,,,,320.139265,paid,2024-02-19 20:32:55.616667,,,+260976741118,,,,,Mansa Agro Facility,"Plot 94, Industrial Area, Lusaka",Processing,188,1 shift,2473,2,20,2024-02-19,True,1.76,48.11
