Meter_ID,Usage_Type,Name,Address,Phone_Number,Region,Tariff_Plan,Email,Household_Size,Dwelling_Type,Energy_Consumption_kWh,Payment_Status,Timestamp,Business_Name,Business_Address,Contact_Number,Business_Type,Contact_Email,Operating_Hours,Floor_Area,Facility_Name,Facility_Address,Industry_Type,Production_Capacity,Operating_Shifts,Production_Volume,Month,Hour,Date,Is_Peak_Hour,Peak_hour_usage_ratio,Usage_consistency_score
RES00000,residential,Nchimunya Sinkala,"Plot 33, Lumumba Road, Kabwe",+260976587672,North-Western,R1,nchimunyasinkala@gmail.com,5.0,Compound,10.415865780908142,paid,2024-12-09 19:37:52,,,,,,,,,,,,,,12,19,2024-12-09,True,1.19,18.68
RES00001,residential,Kangwa Lungu,"Plot 33, Lumumba Road, Kabwe",+260774208139,North-Western,R3,kangwalungu@gmail.com,6.0,Apartment,56.07912998468102,partial,2024-05-02 01:39:25,,,,,,,,,,,,,,5,1,2024-05-02,False,2.86,16.65
COM00002,commercial,,,,Western,C1,,,,-2.9262743300336385,paid,2024-06-01 02:42:20,Chikuni General Dealers,"Chilenje South, Lusaka",+260768256304,Transportation,chikunigeneraldealers@gmail.com,8 hours,363.0,,,,,,,6,2,2024-06-01,False,2.22,8.81
COM00003,commercial,,,,Southern,C3,,,,207.0221809438142,paid,2024-12-21 23:14:07,Solwezi Boutique,"Plot 33, Kalundu Rd, Lusaka",+260776076587,Technology,solweziboutique@gmail.com,11 hours,369.0,,,,,,,12,23,2024-12-21,False,1.84,30.36
IND04000,industrial,,,,Luapula,I1,,,,139.97461498940882,paid,2024-04-24 05:06:45,,,+260955894342,,,,,Mansa Agro Facility,"Plot 21, Chisamba Rd, Chipata",Mining,266.0,2 shifts,9655.0,4,5,2024-04-24,False,0.55,23.83
RES00005,residential,Bupe Kunda,"Flat 8, Independence Avenue, Kitwe",+260957842719,Luapula,R1,bupekunda@gmail.com,7.0,Compound,25.65835883680316,partial,2024-07-25 20:39:03,,,,,,,,,,,,,,7,20,2024-07-25,True,0.55,43.29
RES00006,residential,Tandiwe Kalunga,"Flat 8, Independence Avenue, Kitwe",+260951910607,North-Western,R2,tandiwekalunga@gmail.com,6.0,House,16.614998986391488,paid,2025-04-08 15:37:52,,,,,,,,,,,,,,4,15,2025-04-08,False,0.27,1.61
COM00007,commercial,,,,Copperbelt,C2,,,,22.13166118254593,paid,2024-11-17 04:01:28,Mosi Beverages,"Plot 12, Lumumba Rd, Lusaka",+260757399172,Textiles,mosibeverages@gmail.com,11 hours,319.0,,,,,,,11,4,2024-11-17,False,2.61,32.19
RES00008,residential,Kangwa Lungu,"Plot 45, Cairo Road, Lusaka",+260757784799,Luapula,R1,kangwalungu@gmail.com,6.0,Flat,22.57575612149015,paid,2024-05-19 11:54:28,,,,,,,,,,,,,,5,11,2024-05-19,False,1.84,38.15
RES00009,residential,Thandiwe Banda,"Flat 8, Independence Avenue, Kitwe",+260961464278,Central,R1,thandiwebanda@gmail.com,1.0,Apartment,18.29595299214492,unpaid,2024-09-05 17:37:04,,,,,,,,,,,,,,9,17,2024-09-05,False,2.15,37.97
RES00010,residential,Sipho Mumba,"Plot 33, Lumumba Road, Kabwe",+260761328563,Luapula,R1,siphomumba@gmail.com,1.0,Flat,23.635983204243608,unpaid,2024-06-17 05:03:53,,,,,,,,,,,,,,6,5,2024-06-17,False,0.16,44.3
COM00011,commercial,,,,Luapula,C1,,,,31.8655866284014,unpaid,2024-10-24 04:45:50,Mosi Beverages,"Market Street, Kasama",+260956929635,Transportation,mosibeverages@gmail.com,19 hours,184.0,,,,,,,10,4,2024-10-24,False,2.91,36.45
RES00012,residential,Bupe Kunda,"Plot 104, Malambo Road, Livingstone",+260768611454,Lusaka,R3,bupekunda@gmail.com,7.0,House,27.16815624055456,paid,2024-05-08 01:26:13,,,,,,,,,,,,,,5,1,2024-05-08,False,2.51,46.39
IND00013,industrial,,,,Lusaka,I1,,,,143.23296787076185,paid,2024-05-15 00:50:12,,,+260976727083,,,,,Ndola Textile Plant,"Kalukanya Industrial Zone, Mansa",Agriculture,561.0,3 shifts,7485.0,5,0,2024-05-15,False,0.72,16.63
RES00014,residential,Mwansa Bwalya,"House No. 12, Chachacha Road, Ndola",+260959771427,Luapula,R3,mwansabwalya@gmail.com,1.0,Compound,16.908850464901192,paid,2024-05-07 06:17:20,,,,,,,,,,,,,,5,6,2024-05-07,True,0.63,25.16
RES00015,residential,Chikondi Daka,"Flat 8, Independence Avenue, Kitwe",+260967359395,Luapula,R1,chikondidaka@gmail.com,4.0,Apartment,19.10438343141415,paid,2024-07-06 08:33:58,,,,,,,,,,,,,,7,8,2024-07-06,True,0.63,0.7
IND00016,industrial,,,,Luapula,I1,,,,362.29204993413737,paid,2024-10-14 23:29:31,,,+260767008066,,,,,Solwezi Industrial Park,"Zone 4, Airport Area, Kitwe",Agriculture,754.0,3 shifts,9889.0,10,23,2024-10-14,False,0.98,0.35
COM00017,commercial,,,,Western,C2,,,,66.47466153950283,paid,2024-08-02 20:31:41,Chikuni General Dealers,"Industrial Area, Livingstone",+260976379342,Wholesale,chikunigeneraldealers@gmail.com,21 hours,380.0,,,,,,,8,20,2024-08-02,True,1.62,12.01
RES00018,residential,Mutale Ngoma,"Stand 56, Katima Mulilo Road, Solwezi",+260967609422,Central,R3,mutalengoma@gmail.com,6.0,Apartment,19.24960602031175,paid,2025-02-03 15:05:49,,,,,,,,,,,,,,2,15,2025-02-03,False,1.35,5.04
RES00019,residential,Tandiwe Kalunga,"Flat 8, Independence Avenue, Kitwe",+260775004735,Southern,R3,tandiwekalunga@gmail.com,6.0,Flat,32.92917759785337,paid,2024-07-26 21:34:45,,,,,,,,,,,,,,7,21,2024-07-26,True,0.94,13.01
RES00020,residential,Tandiwe Kalunga,"Stand 221, Freedom Way, Lusaka",+260774759882,Lusaka,R3,tandiwekalunga@gmail.com,2.0,Flat,11.669696898847857,paid,2025-03-17 01:26:58,,,,,,,,,,,,,,3,1,2025-03-17,False,1.87,8.85
RES00021,residential,Mwansa Bwalya,"Stand 221, Freedom Way, Lusaka",+260768657270,Northern,R1,mwansabwalya@gmail.com,6.0,Apartment,12.431062542458768,paid,2025-03-07 15:49:42,,,,,,,,,,,,,,3,15,2025-03-07,False,0.5,1.43
RES00022,residential,Misozi Tembo,"Flat 17, Mungwi Road, Kasama",+260979431352,Luapula,R2,misozitembo@gmail.com,3.0,Apartment,12.791169883869935,paid,2025-02-19 16:02:51,,,,,,,,,,,,,,2,16,2025-02-19,False,0.95,45.47
COM00023,commercial,,,,Copperbelt,C2,,,,48.31669829637645,paid,2024-04-24 00:44:46,Luangwa Motors,"Plot 33, Kalundu Rd, Lusaka",+260765200420,Manufacturing,luangwamotors@gmail.com,23 hours,247.0,,,,,,,4,0,2024-04-24,False,1.16,0.41
COM00024,commercial,,,,North-Western,C1,,,,78.05588621872198,paid,2025-01-21 15:46:40,Lusaka Hardware,"Industrial Area, Livingstone",+260972518475,Textiles,lusakahardware@gmail.com,22 hours,343.0,,,,,,,1,15,2025-01-21,False,1.42,36.8
RES00025,residential,Luyando Zulu,"House 78, Great East Road, Chipata",+260964265151,Lusaka,R1,luyandozulu@gmail.com,4.0,Compound,10.387968091850174,paid,2024-07-19 17:02:27,,,,,,,,,,,,,,7,17,2024-07-19,False,2.38,7.61
RES00026,residential,Bupe Kunda,"Flat 8, Independence Avenue, Kitwe",+260971234694,Northern,R3,bupekunda@gmail.com,4.0,Compound,19.437558072081345,paid,2025-02-15 21:12:46,,,,,,,,,,,,,,2,21,2025-02-15,True,0.68,45.61
RES00027,residential,Lombe Chileshe,"Flat 17, Mungwi Road, Kasama",+260772960067,Central,R1,lombechileshe@gmail.com,7.0,House,70.30692105152967,unpaid,2024-05-06 07:13:10,,,,,,,,,,,,,,5,7,2024-05-06,True,1.59,44.64
COM00028,commercial,,,,Central,C2,,,,42.86509948463612,paid,2024-12-21 14:47:01,Great North Electronics,"Shop 45, Freedom Mall, Ndola",+260972594728,Retail,greatnorthelectronics@gmail.com,14 hours,464.0,,,,,,,12,14,2024-12-21,False,1.82,32.7
COM00029,commercial,,,,Central,C1,,,,61.122435970679305,paid,2025-03-29 16:53:42,Luangwa Motors,"Stand 78, Katondo St, Kitwe",+260778826051,Textiles,luangwamotors@gmail.com,9 hours,434.0,,,,,,,3,16,2025-03-29,False,0.23,33.61
IND00030,industrial,,,,Eastern,I3,,,,329.9396814264487,paid,2025-03-21 14:23:29,,,+260762419915,,,,,Solwezi Industrial Park,"Zone 4, Airport Area, Kitwe",Processing,108.0,1 shift,6395.0,3,14,2025-03-21,False,1.86,0.27
RES00031,residential,Luyando Zulu,"Stand 221, Freedom Way, Lusaka",+260760489039,Lusaka,R3,luyandozulu@gmail.com,1.0,Flat,10.664269219752232,unpaid,2024-11-01 08:48:17,,,,,,,,,,,,,,11,8,2024-11-01,True,0.59,49.24
COM00032,commercial,,,,Southern,C3,,,,30.292364057486253,paid,2025-01-08 03:18:15,Mosi Beverages,"Plot 12, Lumumba Rd, Lusaka",+260767073036,Transportation,mosibeverages@gmail.com,16 hours,398.0,,,,,,,1,3,2025-01-08,False,0.29,43.89
RES00033,residential,Nchimunya Sinkala,"House 78, Great East Road, Chipata",+260958233263,Central,R1,nchimunyasinkala@gmail.com,4.0,Apartment,9.53029795465763,paid,2024-08-28 20:01:24,,,,,,,,,,,,,,8,20,2024-08-28,True,2.85,44.76
RES00034,residential,Kangwa Lungu,"House 90, Kalambo Road, Mongu",+260951791358,North-Western,R3,kangwalungu@gmail.com,3.0,Apartment,17.090592609777932,paid,2024-12-03 22:00:41,,,,,,,,,,,,,,12,22,2024-12-03,True,2.9,32.96
COM00035,commercial,,,,Western,C3,,,,15.950270809573407,paid,2024-07-12 20:58:17,Mosi Beverages,"Market Street, Kasama",+260763280490,Agriculture,mosibeverages@gmail.com,13 hours,313.0,,,,,,,7,20,2024-07-12,True,2.44,17.24
COM00036,commercial,,,,Lusaka,C3,,,,105.67876092979674,paid,2025-01-08 12:52:27,Zambezi Agro Ltd,"Plot 33, Kalundu Rd, Lusaka",+260974393313,Transportation,zambeziagroltd@gmail.com,23 hours,366.0,,,,,,,1,12,2025-01-08,False,0.98,44.68
RES00037,residential,Mutale Ngoma,"House 78, Great East Road, Chipata",+260757280819,Eastern,R2,mutalengoma@gmail.com,3.0,Flat,14.84406600916578,paid,2024-09-01 12:38:42,,,,,,,,,,,,,,9,12,2024-09-01,False,0.38,14.58
IND00038,industrial,,,,Lusaka,I1,,,,105.04809548211416,paid,2025-03-30 18:53:21,,,+260973025124,,,,,Lusaka Energy Hub,"Kalukanya Industrial Zone, Mansa",Manufacturing,706.0,3 shifts,3494.0,3,18,2025-03-30,True,2.08,28.14
RES00039,residential,Mukuka Phiri,"Flat 8, Independence Avenue, Kitwe",+260757391272,Central,R2,mukukaphiri@gmail.com,7.0,House,12.015513342186235,paid,2024-08-20 06:34:01,,,,,,,,,,,,,,8,6,2024-08-20,True,1.38,4.99
RES00040,residential,Chikondi Daka,"Plot 45, Cairo Road, Lusaka",+260959288419,North-Western,R2,chikondidaka@gmail.com,7.0,House,25.414536689383645,paid,2025-02-06 04:59:56,,,,,,,,,,,,,,2,4,2025-02-06,False,0.45,46.1
RES00041,residential,Mutale Ngoma,"Plot 33, Lumumba Road, Kabwe",+260776310716,North-Western,R1,mutalengoma@gmail.com,1.0,Compound,11.246190784661636,unpaid,2024-09-07 02:14:38,,,,,,,,,,,,,,9,2,2024-09-07,False,1.54,7.04
RES00042,residential,Kangwa Lungu,"Plot 45, Cairo Road, Lusaka",+260752046609,Luapula,R2,kangwalungu@gmail.com,3.0,House,17.575238431530238,unpaid,2024-09-30 22:31:05,,,,,,,,,,,,,,9,22,2024-09-30,True,0.2,11.24
COM00043,commercial,,,,Southern,C2,,,,165.17101875702275,paid,2024-06-24 02:20:16,Copperbelt Traders,"Market Street, Kasama",+260767762081,Wholesale,copperbelttraders@gmail.com,9 hours,337.0,,,,,,,6,2,2024-06-24,False,2.74,27.91
RES00044,residential,Luyando Zulu,"Stand 56, Katima Mulilo Road, Solwezi",+260962255724,Central,R2,luyandozulu@gmail.com,7.0,House,18.43130095187257,paid,2024-12-02 04:07:29,,,,,,,,,,,,,,12,4,2024-12-02,False,0.85,38.2
RES00045,residential,Mutale Ngoma,"Stand 221, Freedom Way, Lusaka",+260964194145,Western,R3,mutalengoma@gmail.com,6.0,Compound,9.017346837267263,paid,2024-05-22 06:22:23,,,,,,,,,,,,,,5,6,2024-05-22,True,2.02,30.97
RES00046,residential,Thandiwe Banda,"Plot 104, Malambo Road, Livingstone",+260971783961,Eastern,R1,thandiwebanda@gmail.com,7.0,Flat,13.04299093959084,paid,2024-04-17 16:43:09,,,,,,,,,,,,,,4,16,2024-04-17,False,1.0,11.61
COM00047,commercial,,,,North-Western,C1,,,,58.7604519484335,paid,2025-01-31 20:38:43,Zambezi Agro Ltd,"Shop 45, Freedom Mall, Ndola",+260760644206,Manufacturing,zambeziagroltd@gmail.com,9 hours,173.0,,,,,,,1,20,2025-01-31,True,1.61,0.05
RES00048,residential,Nchimunya Sinkala,"Stand 221, Freedom Way, Lusaka",+260954375510,North-Western,R3,nchimunyasinkala@gmail.com,3.0,Flat,10.712255571694495,paid,2025-02-27 05:09:02,,,,,,,,,,,,,,2,5,2025-02-27,False,1.69,37.86
RES00049,residential,Bupe Kunda,"Plot 104, Malambo Road, Livingstone",+260966512194,Central,R1,bupekunda@gmail.com,1.0,House,19.200026883112145,partial,2025-03-06 14:25:53,,,,,,,,,,,,,,3,14,2025-03-06,False,0.64,49.26
RES00050,residential,Namwinga Musonda,"Plot 45, Cairo Road, Lusaka",+260974052023,Western,R1,namwingamusonda@gmail.com,5.0,Apartment,21.26190136682472,paid,2024-05-16 14:18:30,,,,,,,,,,,,,,5,14,2024-05-16,False,2.91,40.5
RES00051,residential,Mwansa Bwalya,"Plot 45, Cairo Road, Lusaka",+260975444892,Luapula,R3,mwansabwalya@gmail.com,4.0,House,26.224033030052816,paid,2024-09-13 23:39:51,,,,,,,,,,,,,,9,23,2024-09-13,False,2.35,23.01
