Meter_ID,Usage_Type,Name,Address,Phone_Number,Region,Tariff_Plan,Email,Household_Size,Dwelling_Type,Energy_Consumption_kWh,Payment_Status,Timestamp,Business_Name,Business_Address,Contact_Number,Business_Type,Contact_Email,Operating_Hours,Floor_Area,Facility_Name,Facility_Address,Industry_Type,Production_Capacity,Operating_Shifts,Production_Volume,Month,Hour,Date,Is_Peak_Hour,Peak_hour_usage_ratio,Usage_consistency_score
IND02785,industrial,,,,Kanyama,,,,,405.293651,partial,2024-10-03 06:47:51.028892,,,+260959364106,,,,,Lusaka Energy Hub,"Plot 58, Industrial Area, Lusaka",Processing,809,3 shifts,4730,10,6,2024-10-03,True,1.47,15.1
RES01791,residential,Jesus Harvey,"9030 Jennifer Harbors, Lusaka",+260957471742,Mass Media,R3,jesusharvey@gmail.com,4,Apartment,3.386737,paid,2025-03-11 06:38:04.038474,,,,,,,,,,,,,,3,6,2025-03-11,True,1.66,40.86
RES01498,residential,Robert Jacobs,"2537 Phillips Gardens, Lusaka",+260959794580,Kalingalinga,R2,robertjacobs@gmail.com,7,Apartment,25.294823,paid,2025-03-22 10:46:39.947392,,,,,,,,,,,,,,3,10,2025-03-22,False,1.04,31.64
COM04375,commercial,,,,Kabulonga,,,,,73.322746,paid,2024-07-26 14:58:52.955968,Great North Electronics,"Plot 321, Dale Heights, Lusaka",+260954637901,Hospitality,greatnorthelectronics@gmail.com,21 hours,191,,,,,,,7,14,2024-07-26,False,1.07,16.49
IND01550,industrial,,,,Chazanga,,,,,287.374903,paid,2024-06-08 06:52:35.337161,,,+260968834957,,,,,Chipata Milling Station,"Plot 7, Industrial Area, Lusaka",Processing,335,3 shifts,920,6,6,2024-06-08,True,1.28,15.98
COM03915,commercial,,,,Northmead,,,,,23.294761,partial,2024-03-08 02:50:23.428551,Zambezi Agro Ltd,"Plot 373, Jennifer Green, Lusaka",+260959635570,Transportation,zambeziagroltd@gmail.com,23 hours,342,,,,,,,3,2,2024-03-08,False,0.26,9.98
COM02863,commercial,,,,Bauleni,,,,,47.320733,unpaid,2024-05-20 15:22:04.527583,Luangwa Motors,"Plot 373, Brown Rapid, Lusaka",+260951898444,Technology,luangwamotors@gmail.com,10 hours,283,,,,,,,5,15,2024-05-20,False,1.17,21.44
COM03965,commercial,,,,Woodlands,,,,,116.993346,paid,2025-02-21 13:51:56.695374,Chikuni General Dealers,"Plot 253, Bishop Plaza, Lusaka",+260968806872,Wholesale,chikunigeneraldealers@gmail.com,17 hours,400,,,,,,,2,13,2025-02-21,False,2.52,1.69
RES00473,residential,Kristin Ortiz,"87224 Alyssa Shoals, Lusaka",+260962279898,Northmead,R1,kristinortiz@gmail.com,4,Apartment,22.22012,paid,2025-02-13 12:25:22.548470,,,,,,,,,,,,,,2,12,2025-02-13,False,0.34,10.89
RES02110,residential,Aaron Miller,"25672 Watson Falls Suite 395, Lusaka",+260978840774,Chawama,R2,aaronmiller@gmail.com,6,Apartment,15.788096,partial,2024-10-21 22:41:25.031616,,,,,,,,,,,,,,10,22,2024-10-21,False,2.43,42.29
